700502-3920;;;;;;700508-1020;;
700508-1020;;;;;;700614-0690;;
700614-0690;;;;;;700802-2210;;
700802-2210;;;;;;700893-2359;;
700893-2359;;;;;;701109-1200;;
701109-1200;;;;;;701205-3240;;
701205-3240;;;;;;701294-2979;;
701294-2979;;;;;;701294-7859;;
701294-7859;;;;;;710197-2969;;
710197-2969;;;;;;710382-0269;;
710382-0269;;;;;;710804-3380;;
710804-3380;;;;;;710818-0530;;
710818-0530;;;;;;710892-2379;;
710892-2379;;;;;;711017-1350;;
711017-1350;;;;;;711284-0799;;
711284-0799;;;;;;711292-3309;;
711292-3309;;;;;;90078708;;
90078708;;;;;;90079249;;
90079249;;;;;;;;
Grand Total;;;;;;;;
