No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
14084;Vistamar Brisa Sauvignon Blanc;1599;REYNSLA;02;0;2;FL.;750;;470169-1419
14085;Vistamar Chardonnay;5590;KJARNI;02;0;2;BOX;3000;;470169-1419
14086;Cantina Zaccagnini il Bianco di Ciccio;1990;KJARNI;02;0;2;FL.;750;;700103-3660
14088;Vina Maipo Vitral Reserva Syrah;1999;REYNSLA;02;3;2;FL.;750;;570169-0339
14089;Vina Maipo Reserva Especial rautt;2499;REYNSLA;01;0;2;FL.;750;;601289-1489
14090;Vina Maipo Reserva Especial Sauvignon Blanc;2399;REYNSLA;02;0;2;FL.;750;;601289-1489
14091;Vina Maipo Cabernet Sauvignon Merlot;495;REYNSLA;01;3;2;FL.;187;;601289-1489
14092;Vina Maipo Sauvignon Blanc Chardonnay;495;REYNSLA;02;3;2;FL.;187;;601289-1489
14093;Pearly Bay Cape Red;5450;KJARNI;01;0;2;BOX;3000;;420369-7789
14095;Santa Carolina Premio;1699;REYNSLA;01;0;2;FL.;750;;601083-0789
14096;Santa Carolina Premio hvítt;1499;REYNSLA;02;0;2;FL.;750;;420178-0349
14097;"H.C Andersen's ""Little Match Girl"" Syrah";1998;REYNSLA;01;0;2;FL.;750;;601083-0789
14099;"Andersen's ""Shepherdess & Chimmey-Sweeper"" Merlot";1998;REYNSLA;01;0;2;FL.;750;;601083-0789
14101;Chateau Haut Nicot;2390;REYNSLA;01;0;2;FL.;750;;601083-0789
14102;"H.C Andersen's ""Thumblina"" Sauvignon";1999;REYNSLA;02;0;2;FL.;750;;601083-0789
14103;"Andersen's ""Little Mermaid"" Chardonnay-Colombard";1999;REYNSLA;02;0;2;FL.;750;;601083-0789
14104;Robert Giraud Baron de Vassal;1798;REYNSLA;01;0;2;FL.;750;;601083-0789
14105;Robert Giraud Chateau Cotelier;2390;REYNSLA;01;0;2;FL.;750;;601083-0789
14106;Bisceglia Aglianico del Vulture;2390;KJARNI;01;0;2;FL.;750;;570203-3980
14107;Bisceglia Primitivo;1790;SÉRPÖNTUN;01;3;2;FL.;750;;570203-3980
14108;Bisceglia Falanghina;2289;REYNSLA;02;0;2;FL.;750;;570203-3980
14109;Tommasi Lugana;1899;REYNSLA;02;0;2;FL.;750;;550595-2579
14110;Tommasi Bardolino;1899;SÉRFLOKKUR;01;3;2;FL.;750;;550595-2579
